ФИО лица выдавшего Поручение,Дата Поручения,Номер Поручения,Досудебное урегулирование,Дата Претензии/Уведомления,Номер Претензии/Уведомления,Номер Дела,Исполнитель от Юридического отдела (ФИО),Дата Иска,Иск - Входящий/Исходящий,Истец,Ответчик,Третьи лица,Исковое требование,Предмет Искового требования,Основной долг (Сумма Иска предъявленного Москомнаследием),Пени (Пени Иска предъявленного Москомнаследием),Комментарий,Инстанция,Дата судебного заседания,Время судебного заседания,Результат рассмотрения судебного заседания,Вид Решения Суда,Дата решения Суда,Основной долг (По решению суда),Пени (По решению суда),Примечание,Идентификатор,Аппеляционная инстанция,Кассационная инстанция,Номер Исполнительного листа,Дата поступления Исполнительного листа,Дата направления Исполнительного листа,Отдел службы судебных приставов,Комментарий к исполнительному производству,Дата исполнения решения,Результат исполнения,key,link
,,,,,,"А40-7080/06-91-71",,,"Входящий","ООО «Омега СТТ»","ООО ТД «Рекорд», ЗАО «Оргжилцентр»","Москомнаследие ГУ ФРС по Москве, ДИгМ","Иное...","Истребование передачи права аренды",,,"назначено на 02.10.2006 на 14.10",,,,"в иске отказано",,,,,,"*",,,,,,,,,,337,3427
,,,,,,"А40-65656/06-1-374","Спиридонов А.А.","01/01/06 00:00:00","Входящий","ООО ""Новейшие технологии и связь""","Департамент земельных ресурсов г. Москвы","МКН, Подворье Патриарха  Московского и всея Русихрама Рождества Иоанна Предтечи в Сокольниках г. Москвы, ФАУФИ","Иное...","о размежевании земельного участка (д. 2А)",,,"возобновлено",,"02/05/10 00:00:00","14:00:00","в иске отказано","Иное...","02/12/10 00:00:00",,,,"*",,,,,,,,,,338,3389
,,,,,,"А40-80578/06-41-527","Спиридонов А.А.","01/01/06 00:00:00","Входящий","ФАУФИ, ООО ""Новейшие технологии и связь""","Москомнаследие","ФРС по г. Москве","Иное...","о признании недействительным права постоянного бессрочного пользования земельным участком",,," Приостановлено 12.02.2008. Производство по делу возобновлено 09.06.2009. Апелляция.",,"01/25/10 00:00:00","11:00:00","иск удовлетворен","Иное...","10/07/09 00:00:00",,,"Решение 24.05.2009 - в иске отказано. Кассация 12.10.2007 - решение отменено, дело на новое рассмотрение.","*",,"Решение в силе (29.01.2010)",,,,,,,,339,3389
,,,,,,"А72-3681/06-28-275",,,,"ОАО «Гаро»","ООО «Кровля» ООО «Сад» МОД «Женщины во власть»","Москомнаследие",,"о выселении из занимаемого помещения, о вселении в нежилое помещение, о взыскании 118.800 руб.",,,"Определением Арбитражного суда Ульяновской области дело назначено на 18.10.2006 на 15.40, 17.11.2006 на 10.30,Определением Арбитражного суда Ульяновской области дело назначено на 14.12.2006 на 14.30, направлено в Басманный районный суд,",,"02/19/07 00:00:00",,,,,,,,"*",,,,,,,,,,340,3425
,,,,,,"А40-74151/06-85-564","Титова А.В.","01/01/06 00:00:00","Исходящий","Москомнаследие","ЗАО ""Дирекция выставок и аукционов Министерства культуры""",,"Иное...","о взыскании 6.561.609 руб. 18 коп.",6561609.1800,,"30.01.2007 в 13.30 приостановлено до рассмотрения дела в ВАС № 14062/03по ул. Старая Басманная д. 15а стр. 4-4а. Апелляционная жалоба ответчика. Кассация",,"01/28/08 00:00:00","16:15:00","Судебные акты отменены, в иске отказано.","Иное...","08/21/07 00:00:00",6561609.1800,,,"*","Решение в силе (24.10.07)","Судебные акты отменены, в иске отказано (04.02.08)",,,,,,,,341,3441
,,,,,,"А40-30700/04-91-327",,,,"ТОО «Фирма «Империал»","ООО «Компания «Империал»","Мосокмнаследие, ДИгМ",,"об обязании освободить помещение",,,"отложено на 24.10.2006 на 13.00",,,,,,,,,,"*",,,,,,,,,,342,3395
,,,,,,,"Титова А.В.","04/01/07 00:00:00","Входящий","ЗАО ""Антей""","Москомнаследие",,"Иное...","Признание недействительным повышения арендной платы",,,,,,,,,,,,,"*",,,,,,,,,,343,3499
,,,,,,"А40-42457/07-119-143","Гавриленко Б.Б.","07/26/07 00:00:00","Исходящий","Москомнаследие","УФРС по Москве",,"Иное...","Оспаривание решений госоргана о признании недействительными отказов в госрегистрации и внесения изменений в ЕГРП о праве постоянного (бессрочного) пользования земельными участками",0.0000,0.0000,,,"10/18/07 00:00:00","11:00:00","Признать отказ недействительным. Обязать внести изменения в ЕГРП.","Иное...","10/22/07 00:00:00",0.0000,0.0000,,,,,,,,,,,,344,3556
,,,,,,"№А40-42080/07-89-243","Титова А.В.","08/20/07 00:00:00","Входящий","ЗАО «Дирекция выставок и аукционов Минкультуры»","Москомнаследие","ДИгМ, ГУ культуры г.Москвы ""Сад культуры и отдыха им. Н.Э.Баумана""","Иное...","о переводе прав и обязанностей по залюченным договорам",0.0000,0.0000,"отказ от иска (10.12.2007). Производство прекращено.",,"12/10/07 00:00:00","16:00:00","отказ от иска (10.12.2007). Производство прекращено.",,,0.0000,0.0000,,,,,,,,,,,,345,3441
,,,,,,"А40-76578/06-60-560","Гавриленко Б.Б.",,"Исходящий","Москомнаследие","ООО «Бук Чэмбэр Интернешнл»","ДИгМ","Расторгнуть, выселить","о расторжении договора аренды и выселении",0.0000,0.0000,"назначено на 16.01.2007 в 15.15, назначено на 08.02.2007.  31.05.2007-Решение в силе. В иске отказано. Кассационная жалоба",,"09/07/07 00:00:00","11:30:00","в иске отказано.","Отказ в Исковых требованиях",,0.0000,0.0000,,,,,,,,,,,,346,3419
,,,,,,"А40-45285/07-28-379","Титова А.В.","08/24/07 00:00:00","Входящий","Межрегиональное Территориальное управление ФАУФИ","ДИгМ","Москомнаследие, Иститут Латинской Америки, УФРС по Москве","Собственность РФ","Признание права собственности РФ",0.0000,0.0000,"апелляция. Кассация",,"07/30/08 00:00:00","16:00:00","Постановление апелляции в силе: решение отменено , иск удовлетворен","Собственность РФ","12/19/07 00:00:00",0.0000,0.0000,,,"Решение отменить. Иск удовлетворить (26.02.08)","Постановление в силе (06.08.08)",,,,,,,,347,3468
,,,,,,"А40-41311/07-17-275","Титова А.В.",,"Входящий","Московский государственный университет технологий и управления","Правительство Москвы","Москомнаследие, МРОМОО ""Вымпел""","Иное...","о признании частично недействительным п.1 РПМ №1042-РП от 28.05.07",0.0000,0.0000,"Апелляция. Кассация",,"07/24/08 00:00:00","14:00:00","Решение в силе","Иное...","10/30/07 00:00:00",0.0000,0.0000,,,"Решение в силе (30.01.08)","Решение в силе (24.07.08)",,,,,,,,348,3436
,,,,,,"№А40-47568/07-60-304","Васильева Ю.В.","09/12/07 00:00:00","Исходящий","Москомнаследие","ЗАО ""Реставрационная фирма ""Смирвальд""",,"Взыскать","о взыскании задолженности по арендной плате",849631.0900,732987.3700,"Апелляция. Кассация. Судебные акты отменены, новое рассмотрение (12.05.08).  Апелляция. Исполнительный лист № 685869 (выдан 01.11.2008). Кассационная жалоба Москомнаследия. Кассационная жалоба ЗАО ""РФ ""СМИРВАЛЬД"". Постановление с/п 2-го МО по ЦАО УФССП Теймуровой Э.С.  о возбуждении исполнительного производства от 26.02.09 № 65/26587/226/2009 .",,"01/15/09 00:00:00","17:00:00","иск удовлетворен частично","Взыскать","08/06/08 00:00:00",142685.4100,16000.0000,,,"Решение в силе (10.10.2008)","Решение и постановление в силе (16.01.2009)",,,,,,,,349,3523
"Шевчук В.А.","07/06/07 00:00:00",,"Претензия","09/26/07 00:00:00","№16-03-2058/7",,"Васильева Ю.В.",,,,"ООО «Вест»",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,350,3561
"Шевчук В.А.","07/06/07 00:00:00",,"Претензия","09/26/07 00:00:00","№16-03-2059/7",,"Васильева Ю.В.",,,,"ООО «Анолна»",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,351,3561
"Шевчук В.А.","07/06/07 00:00:00",,"Претензия","09/26/07 00:00:00","№16-03-2060/7",,"Васильева Ю.В.",,,,"ООО «Коммунальная техника»",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,352,3561
"Шевчук В.А.","07/06/07 00:00:00",,"Претензия","09/26/07 00:00:00","№16-03-2061/7","А40-67190/07-77-611","Рутто Д.Р.","12/07/07 00:00:00","Исходящий","Москомнаследие","ЗАО «МВА-Инвест»",,"Расторгнуть, выселить","Расторжение договора, выселение",0.0000,0.0000,"Апелляция. Заявление Замоскворецкого РОСП о выдаче дубликата исполнительного листа - отказано 22.09.2010. Определение АС от 04.03.2011 об исправлении описок, опечаток и арифметических ошибках - Апелляция 04.05.2011 - определение отменено.","Апелляция","04/26/11 00:00:00","15:30:00","в иске о расторжении и выселении отказано, апелляция оставила в силе решение 1 инстанции","Отказ в Исковых требованиях","02/18/08 00:00:00",0.0000,0.0000,,,"Решение в силе (28.04.08)",,,,,,,,,353,3562
